track_cluster_id,track_cluster_label,exact_track_profile_id,exact_track_profile_label,circuit_id,circuit_name,is_street,is_permanent_road_course,is_high_speed,is_stop_start,is_flowing_high_downforce,is_low_overtake,is_tyre_deg_heavy,cluster_circuit_count,cluster_peer_circuits,track_profile_id,track_profile_label,races
cluster_1,cluster_1 - Permanent + High Speed + Flowing High Downforce + Tyre Deg Heavy,0110101,permanent + high_speed + flowing_high_downforce + tyre_deg_heavy,mugello,Autodromo Internazionale del Mugello,0,1,1,0,1,0,1,5,Autodromo Internazionale del Mugello; Circuit de Spa-Francorchamps; Circuit Paul Ricard; Losail International Circuit; Silverstone Circuit,cluster_1,cluster_1 - Permanent + High Speed + Flowing High Downforce + Tyre Deg Heavy,1
cluster_1,cluster_1 - Permanent + High Speed + Flowing High Downforce + Tyre Deg Heavy,0110101,permanent + high_speed + flowing_high_downforce + tyre_deg_heavy,ricard,Circuit Paul Ricard,0,1,1,0,1,0,1,5,Autodromo Internazionale del Mugello; Circuit de Spa-Francorchamps; Circuit Paul Ricard; Losail International Circuit; Silverstone Circuit,cluster_1,cluster_1 - Permanent + High Speed + Flowing High Downforce + Tyre Deg Heavy,4
cluster_1,cluster_1 - Permanent + High Speed + Flowing High Downforce + Tyre Deg Heavy,0110101,permanent + high_speed + flowing_high_downforce + tyre_deg_heavy,spa,Circuit de Spa-Francorchamps,0,1,1,0,1,0,1,5,Autodromo Internazionale del Mugello; Circuit de Spa-Francorchamps; Circuit Paul Ricard; Losail International Circuit; Silverstone Circuit,cluster_1,cluster_1 - Permanent + High Speed + Flowing High Downforce + Tyre Deg Heavy,9
cluster_1,cluster_1 - Permanent + High Speed + Flowing High Downforce + Tyre Deg Heavy,0110101,permanent + high_speed + flowing_high_downforce + tyre_deg_heavy,losail,Losail International Circuit,0,1,1,0,1,0,1,5,Autodromo Internazionale del Mugello; Circuit de Spa-Francorchamps; Circuit Paul Ricard; Losail International Circuit; Silverstone Circuit,cluster_1,cluster_1 - Permanent + High Speed + Flowing High Downforce + Tyre Deg Heavy,4
cluster_1,cluster_1 - Permanent + High Speed + Flowing High Downforce + Tyre Deg Heavy,0110101,permanent + high_speed + flowing_high_downforce + tyre_deg_heavy,silverstone,Silverstone Circuit,0,1,1,0,1,0,1,5,Autodromo Internazionale del Mugello; Circuit de Spa-Francorchamps; Circuit Paul Ricard; Losail International Circuit; Silverstone Circuit,cluster_1,cluster_1 - Permanent + High Speed + Flowing High Downforce + Tyre Deg Heavy,10
cluster_2,cluster_2 - Street + High Speed + Flowing High Downforce + Low Overtake,1010110,street + high_speed + flowing_high_downforce + low_overtake,albert_park,Albert Park Grand Prix Circuit,1,0,1,0,1,1,0,3,Albert Park Grand Prix Circuit; Circuit de Monaco; Jeddah Corniche Circuit,cluster_2,cluster_2 - Street + High Speed + Flowing High Downforce + Low Overtake,7
cluster_2,cluster_2 - Street + High Speed + Flowing High Downforce + Low Overtake,1000010,street + low_overtake,monaco,Circuit de Monaco,1,0,0,0,0,1,0,3,Albert Park Grand Prix Circuit; Circuit de Monaco; Jeddah Corniche Circuit,cluster_2,cluster_2 - Street + High Speed + Flowing High Downforce + Low Overtake,8
cluster_2,cluster_2 - Street + High Speed + Flowing High Downforce + Low Overtake,1010100,street + high_speed + flowing_high_downforce,jeddah,Jeddah Corniche Circuit,1,0,1,0,1,0,0,3,Albert Park Grand Prix Circuit; Circuit de Monaco; Jeddah Corniche Circuit,cluster_2,cluster_2 - Street + High Speed + Flowing High Downforce + Low Overtake,5
cluster_3,cluster_3 - Permanent + High Speed + Stop Start + Tyre Deg Heavy,0111000,permanent + high_speed + stop_start,monza,Autodromo Nazionale di Monza,0,1,1,1,0,0,0,7,Autódromo Hermanos Rodríguez; Autodromo Nazionale di Monza; Bahrain International Circuit; Hockenheimring; Red Bull Ring; Shanghai International Circuit; Yas Marina Circuit,cluster_3,cluster_3 - Permanent + High Speed + Stop Start + Tyre Deg Heavy,8
cluster_3,cluster_3 - Permanent + High Speed + Stop Start + Tyre Deg Heavy,0101001,permanent + stop_start + tyre_deg_heavy,rodriguez,Autódromo Hermanos Rodríguez,0,1,0,1,0,0,1,7,Autódromo Hermanos Rodríguez; Autodromo Nazionale di Monza; Bahrain International Circuit; Hockenheimring; Red Bull Ring; Shanghai International Circuit; Yas Marina Circuit,cluster_3,cluster_3 - Permanent + High Speed + Stop Start + Tyre Deg Heavy,7
cluster_3,cluster_3 - Permanent + High Speed + Stop Start + Tyre Deg Heavy,0101001,permanent + stop_start + tyre_deg_heavy,bahrain,Bahrain International Circuit,0,1,0,1,0,0,1,7,Autódromo Hermanos Rodríguez; Autodromo Nazionale di Monza; Bahrain International Circuit; Hockenheimring; Red Bull Ring; Shanghai International Circuit; Yas Marina Circuit,cluster_3,cluster_3 - Permanent + High Speed + Stop Start + Tyre Deg Heavy,9
cluster_3,cluster_3 - Permanent + High Speed + Stop Start + Tyre Deg Heavy,0111001,permanent + high_speed + stop_start + tyre_deg_heavy,hockenheimring,Hockenheimring,0,1,1,1,0,0,1,7,Autódromo Hermanos Rodríguez; Autodromo Nazionale di Monza; Bahrain International Circuit; Hockenheimring; Red Bull Ring; Shanghai International Circuit; Yas Marina Circuit,cluster_3,cluster_3 - Permanent + High Speed + Stop Start + Tyre Deg Heavy,2
cluster_3,cluster_3 - Permanent + High Speed + Stop Start + Tyre Deg Heavy,0111000,permanent + high_speed + stop_start,red_bull_ring,Red Bull Ring,0,1,1,1,0,0,0,7,Autódromo Hermanos Rodríguez; Autodromo Nazionale di Monza; Bahrain International Circuit; Hockenheimring; Red Bull Ring; Shanghai International Circuit; Yas Marina Circuit,cluster_3,cluster_3 - Permanent + High Speed + Stop Start + Tyre Deg Heavy,11
cluster_3,cluster_3 - Permanent + High Speed + Stop Start + Tyre Deg Heavy,0111001,permanent + high_speed + stop_start + tyre_deg_heavy,shanghai,Shanghai International Circuit,0,1,1,1,0,0,1,7,Autódromo Hermanos Rodríguez; Autodromo Nazionale di Monza; Bahrain International Circuit; Hockenheimring; Red Bull Ring; Shanghai International Circuit; Yas Marina Circuit,cluster_3,cluster_3 - Permanent + High Speed + Stop Start + Tyre Deg Heavy,5
cluster_3,cluster_3 - Permanent + High Speed + Stop Start + Tyre Deg Heavy,0101001,permanent + stop_start + tyre_deg_heavy,yas_marina,Yas Marina Circuit,0,1,0,1,0,0,1,7,Autódromo Hermanos Rodríguez; Autodromo Nazionale di Monza; Bahrain International Circuit; Hockenheimring; Red Bull Ring; Shanghai International Circuit; Yas Marina Circuit,cluster_3,cluster_3 - Permanent + High Speed + Stop Start + Tyre Deg Heavy,8
cluster_4,cluster_4 - Street + High Speed + Stop Start,1011000,street + high_speed + stop_start,baku,Baku City Circuit,1,0,1,1,0,0,0,6,Baku City Circuit; Circuit Gilles Villeneuve; Las Vegas Strip Street Circuit; Marina Bay Street Circuit; Miami International Autodrome; Sochi Autodrom,cluster_4,cluster_4 - Street + High Speed + Stop Start,7
cluster_4,cluster_4 - Street + High Speed + Stop Start,1011000,street + high_speed + stop_start,villeneuve,Circuit Gilles Villeneuve,1,0,1,1,0,0,0,6,Baku City Circuit; Circuit Gilles Villeneuve; Las Vegas Strip Street Circuit; Marina Bay Street Circuit; Miami International Autodrome; Sochi Autodrom,cluster_4,cluster_4 - Street + High Speed + Stop Start,7
cluster_4,cluster_4 - Street + High Speed + Stop Start,1011000,street + high_speed + stop_start,vegas,Las Vegas Strip Street Circuit,1,0,1,1,0,0,0,6,Baku City Circuit; Circuit Gilles Villeneuve; Las Vegas Strip Street Circuit; Marina Bay Street Circuit; Miami International Autodrome; Sochi Autodrom,cluster_4,cluster_4 - Street + High Speed + Stop Start,3
cluster_4,cluster_4 - Street + High Speed + Stop Start,1001011,street + stop_start + low_overtake + tyre_deg_heavy,marina_bay,Marina Bay Street Circuit,1,0,0,1,0,1,1,6,Baku City Circuit; Circuit Gilles Villeneuve; Las Vegas Strip Street Circuit; Marina Bay Street Circuit; Miami International Autodrome; Sochi Autodrom,cluster_4,cluster_4 - Street + High Speed + Stop Start,6
cluster_4,cluster_4 - Street + High Speed + Stop Start,1001000,street + stop_start,miami,Miami International Autodrome,1,0,0,1,0,0,0,6,Baku City Circuit; Circuit Gilles Villeneuve; Las Vegas Strip Street Circuit; Marina Bay Street Circuit; Miami International Autodrome; Sochi Autodrom,cluster_4,cluster_4 - Street + High Speed + Stop Start,5
cluster_4,cluster_4 - Street + High Speed + Stop Start,1001000,street + stop_start,sochi,Sochi Autodrom,1,0,0,1,0,0,0,6,Baku City Circuit; Circuit Gilles Villeneuve; Las Vegas Strip Street Circuit; Marina Bay Street Circuit; Miami International Autodrome; Sochi Autodrom,cluster_4,cluster_4 - Street + High Speed + Stop Start,4
cluster_5,cluster_5 - Permanent + Flowing High Downforce + Tyre Deg Heavy,0100110,permanent + flowing_high_downforce + low_overtake,imola,Autodromo Enzo e Dino Ferrari,0,1,0,0,1,1,0,10,Autodromo Enzo e Dino Ferrari; Autódromo Internacional do Algarve; Autódromo José Carlos Pace; Circuit de Barcelona-Catalunya; Circuit of the Americas; Circuit Park Zandvoort; Hungaroring; Istanbul Park; Nürburgring; Suzuka Circuit,cluster_5,cluster_5 - Permanent + Flowing High Downforce + Tyre Deg Heavy,5
cluster_5,cluster_5 - Permanent + Flowing High Downforce + Tyre Deg Heavy,0100101,permanent + flowing_high_downforce + tyre_deg_heavy,portimao,Autódromo Internacional do Algarve,0,1,0,0,1,0,1,10,Autodromo Enzo e Dino Ferrari; Autódromo Internacional do Algarve; Autódromo José Carlos Pace; Circuit de Barcelona-Catalunya; Circuit of the Americas; Circuit Park Zandvoort; Hungaroring; Istanbul Park; Nürburgring; Suzuka Circuit,cluster_5,cluster_5 - Permanent + Flowing High Downforce + Tyre Deg Heavy,2
cluster_5,cluster_5 - Permanent + Flowing High Downforce + Tyre Deg Heavy,0101101,permanent + stop_start + flowing_high_downforce + tyre_deg_heavy,interlagos,Autódromo José Carlos Pace,0,1,0,1,1,0,1,10,Autodromo Enzo e Dino Ferrari; Autódromo Internacional do Algarve; Autódromo José Carlos Pace; Circuit de Barcelona-Catalunya; Circuit of the Americas; Circuit Park Zandvoort; Hungaroring; Istanbul Park; Nürburgring; Suzuka Circuit,cluster_5,cluster_5 - Permanent + Flowing High Downforce + Tyre Deg Heavy,7
cluster_5,cluster_5 - Permanent + Flowing High Downforce + Tyre Deg Heavy,0100111,permanent + flowing_high_downforce + low_overtake + tyre_deg_heavy,zandvoort,Circuit Park Zandvoort,0,1,0,0,1,1,1,10,Autodromo Enzo e Dino Ferrari; Autódromo Internacional do Algarve; Autódromo José Carlos Pace; Circuit de Barcelona-Catalunya; Circuit of the Americas; Circuit Park Zandvoort; Hungaroring; Istanbul Park; Nürburgring; Suzuka Circuit,cluster_5,cluster_5 - Permanent + Flowing High Downforce + Tyre Deg Heavy,5
cluster_5,cluster_5 - Permanent + Flowing High Downforce + Tyre Deg Heavy,0100101,permanent + flowing_high_downforce + tyre_deg_heavy,catalunya,Circuit de Barcelona-Catalunya,0,1,0,0,1,0,1,10,Autodromo Enzo e Dino Ferrari; Autódromo Internacional do Algarve; Autódromo José Carlos Pace; Circuit de Barcelona-Catalunya; Circuit of the Americas; Circuit Park Zandvoort; Hungaroring; Istanbul Park; Nürburgring; Suzuka Circuit,cluster_5,cluster_5 - Permanent + Flowing High Downforce + Tyre Deg Heavy,9
cluster_5,cluster_5 - Permanent + Flowing High Downforce + Tyre Deg Heavy,0101101,permanent + stop_start + flowing_high_downforce + tyre_deg_heavy,americas,Circuit of the Americas,0,1,0,1,1,0,1,10,Autodromo Enzo e Dino Ferrari; Autódromo Internacional do Algarve; Autódromo José Carlos Pace; Circuit de Barcelona-Catalunya; Circuit of the Americas; Circuit Park Zandvoort; Hungaroring; Istanbul Park; Nürburgring; Suzuka Circuit,cluster_5,cluster_5 - Permanent + Flowing High Downforce + Tyre Deg Heavy,7
cluster_5,cluster_5 - Permanent + Flowing High Downforce + Tyre Deg Heavy,0100111,permanent + flowing_high_downforce + low_overtake + tyre_deg_heavy,hungaroring,Hungaroring,0,1,0,0,1,1,1,10,Autodromo Enzo e Dino Ferrari; Autódromo Internacional do Algarve; Autódromo José Carlos Pace; Circuit de Barcelona-Catalunya; Circuit of the Americas; Circuit Park Zandvoort; Hungaroring; Istanbul Park; Nürburgring; Suzuka Circuit,cluster_5,cluster_5 - Permanent + Flowing High Downforce + Tyre Deg Heavy,8
cluster_5,cluster_5 - Permanent + Flowing High Downforce + Tyre Deg Heavy,0100101,permanent + flowing_high_downforce + tyre_deg_heavy,istanbul,Istanbul Park,0,1,0,0,1,0,1,10,Autodromo Enzo e Dino Ferrari; Autódromo Internacional do Algarve; Autódromo José Carlos Pace; Circuit de Barcelona-Catalunya; Circuit of the Americas; Circuit Park Zandvoort; Hungaroring; Istanbul Park; Nürburgring; Suzuka Circuit,cluster_5,cluster_5 - Permanent + Flowing High Downforce + Tyre Deg Heavy,2
cluster_5,cluster_5 - Permanent + Flowing High Downforce + Tyre Deg Heavy,0100101,permanent + flowing_high_downforce + tyre_deg_heavy,nurburgring,Nürburgring,0,1,0,0,1,0,1,10,Autodromo Enzo e Dino Ferrari; Autódromo Internacional do Algarve; Autódromo José Carlos Pace; Circuit de Barcelona-Catalunya; Circuit of the Americas; Circuit Park Zandvoort; Hungaroring; Istanbul Park; Nürburgring; Suzuka Circuit,cluster_5,cluster_5 - Permanent + Flowing High Downforce + Tyre Deg Heavy,1
cluster_5,cluster_5 - Permanent + Flowing High Downforce + Tyre Deg Heavy,0100101,permanent + flowing_high_downforce + tyre_deg_heavy,suzuka,Suzuka Circuit,0,1,0,0,1,0,1,10,Autodromo Enzo e Dino Ferrari; Autódromo Internacional do Algarve; Autódromo José Carlos Pace; Circuit de Barcelona-Catalunya; Circuit of the Americas; Circuit Park Zandvoort; Hungaroring; Istanbul Park; Nürburgring; Suzuka Circuit,cluster_5,cluster_5 - Permanent + Flowing High Downforce + Tyre Deg Heavy,7
